filename,record number 1,record number 2,alcohol,category,country,description,designation,price,rating,cost per point,region,region coordinates ,region latitude,region longitude,subregion,subregion coordinates ,subregion latitude,subregion longitude,title,url,varietal,vintage,winery
winemag 3201 to 4000,14777,107657,13,White,France,"Mineral and flinty at the start, this young wine has an intense structure. Tannins and fruit skins give a strong, tight texture. At the same time, the acidity is just as intense, crisp and juicy, tight and needing many years to develop. Drink from 2018.",Montée de Tonnerre Premier Cru,39,95,0.41,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Jean-Paul et Benoît Droin 2013 Montée de Tonnerre Premier Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-jean-paul-benoit-droin-2013-montee-tonnerre-premier-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Jean-Paul et Benoît Droin
winemag 3201 to 4000,14778,107658,13,White,France,"Rich and open, this is a generous, full-throated wine. There is a good contrast between the ripeness and a line of acidity that gives a steely, textured backbone. The end combines the two characters, a ripe, full aftertaste cut with a touch of steel. Drink from 2017.",Mont de Milieu Premier Cru,42,95,0.44,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Pinson 2013 Mont de Milieu Premier Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-pinson-2013-mont-milieu-premier-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Pinson
winemag 3201 to 4000,14797,107677,13,White,France,"From ripe fruits, in the Pinson style, this is a rich, generous and concentrated wine. There is great fruitiness from the ripe apricot and pear flavors, cut with acidity to give an edge of freshness. Spice and fragrant acidity mark the finish.",Fourchaume Premier Cru,42,95,0.44,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Pinson 2013 Fourchaume Premier Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-pinson-2013-fourchaume-premier-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Pinson
winemag 3201 to 4000,14806,107686,13,White,France,"This rich, generous and soft wine has a ripe feel along with plenty of acidity. The freshness is cushioned by ripe yellow and pear fruit flavors. It has power as well as minerality, and a touch of toast comes through at the end. Drink from 2018.",Grenouilles Grand Cru,69,95,0.73,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Jean-Paul et Benoît Droin 2013 Grenouilles Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-jean-paul-benoit-droin-2013-grenouilles-grand-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Jean-Paul et Benoît Droin
winemag 3201 to 4000,2627,95507,13,White,France,This is slowly developing into a beautiful wine. It dazzles with its combination of fresh acidity and generously ripe yellow-fruit flavors. The texture and structure give a steely edge to this impressive wine. Drink from 2020.,Les Clos Grand Cru,70,95,0.74,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Louis Moreau 2012 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-louis-moreau-2012-les-clos-grand-cru-chablis/,Chardonnay,2012,Domaine Louis Moreau
winemag 6401 to 7200,3246,158383,,White,France,"This is taut and mineral, with hidden power. It's very closed at this stage. It's a wine with acidity and notes of green fruits and crisp apples, with just a touch of wood. This will age for many years.",Les Clos Grand Cru,70,95,0.74,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Jean-Paul et Benoît Droin 2010 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-jean-paul-benoit-droin-2010-clos-grand-cru-chardonnay-chablis/,Chardonnay,2010,Domaine Jean-Paul et Benoît Droin
winemag 8001 to 8800,4250,190655,13,White,France,"In the tight mineral side of Chablis, a wine with a terrific density of texture. The flavors are in the lemon grass, citrus line, a pure shaft of steel going through the fruit. Taut, tense, very vivid.",Les Preuses Grand Cru,74,95,0.78,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2008 Les Preuses Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2008-preuses-grand-cru-chardonnay-chablis/,Chardonnay,2008,William Févre
winemag 8001 to 8800,4409,190814,13,White,France,"Big and rich, this opulent and ripe-fruited wine is packed with peach and pineapple flavors along with a more severe grapefruit edge. It has great density of flavor, the acidity bringing out so much delicious juicy fruit.",Côte Bougerots Bougros Grand Cru,74,95,0.78,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2008 Côte Bougerots Bougros Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2008-cote-bougerots-bougros-grand-cru-chardonnay-chablis/,Chardonnay,2008,William Févre
winemag 8001 to 8800,4249,190654,,White,France,"An opulent, weighty wine, packed with lemon fruits, wood caramel sweetness and a delicious tasty character. It is lip-smacking in its ripeness and freshness, the final flavor bringing together acidity and a creamy texture.",Le Cailleret Premier Cru,75,95,0.79,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Puligny-Montrachet,"46.9450920, 4.7532960",46.945092,4.753296,Domaine Michel Bouzereau 2008 Le Cailleret Premier Cru  (Puligny-Montrachet),https://www.winemag.com/buying-guide/domaine-michel-bouzereau-2008-le-cailleret-premier-cru-chardonnay-puligny-montrachet/,Chardonnay,2008,Domaine Michel Bouzereau
winemag 9601 to 10400,8120,240776,,White,France,"There is much concentration and freshness here, along with much power and intense minerality. The wine is very rich with butter, ripe fruit and layers of considerable acidity. Wait 6 years at least.",Les Preuses Grand Cru,76,95,0.8,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Vincent Dauvissat 2005 Les Preuses Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-vincent-dauvissat-2005-preuses-grand-cru-chardonnay-chablis/,Chardonnay,2005,Domaine Vincent Dauvissat
winemag 8001 to 8800,9142,195547,13,White,France,"A ripe, bold and impressive wine, showing yellow peaches and pineapple flavors to go with its tight core of minerality. There is a touch of wood, but the main thrust is for broad fruit, open and welcoming.",Cote Bouguerots Bougros Grand Cru,80,95,0.84,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2007 Cote Bouguerots Bougros Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2007-cote-bouguerots-bougros-grand-cru-chardonnay-chablis/,Chardonnay,2007,William Févre
winemag 8801 to 9600,8996,225977,13,White,France,"A beautiful wine, a pure expression of ripe but steely Chardonnay. The wine floats onto the palate, with green plums and citrus leading. Then come toast, a mouthwatering acidity and a mineral structure. This wine's complexity just continues to impress.",Bougros Côte Bouguerots Grand Cru,80,95,0.84,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2006 Bougros Côte Bouguerots Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2006-bougros-cote-bouguerots-grand-cru-chardonnay-chablis/,Chardonnay,2006,William Févre
winemag 8001 to 8800,4251,190656,12.5,White,France,"Tight and steely in character, a serious wine that is all tight, mineral structure. It has great potential, its texture dominated by citrus and green apple elements. Age for at least five years.",Les Clos Grand Cru,85,95,0.89,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2008 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2008-clos-grand-cru-chardonnay-chablis/,Chardonnay,2008,William Févre
winemag 9601 to 10400,8122,240778,,White,France,"Often seen as the easiest of the grand crus because of its richness, this shows more power due to the vintage. There is some tightness to the ripe structure, with white currant, pear skin and spice flavors. Finishes with sweet acidity.",Les Preuses Grand Cru,85,95,0.89,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2005 Les Preuses Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2005-preuses-grand-cru-chardonnay-chablis/,Chardonnay,2005,William Févre
winemag 9601 to 10400,8123,240779,,White,France,"Using the old name for Bougros, this is from the steepest portion of the Bougros vineyard. The pure chalk soil gives it pronounced minerality, and it shows firm structure, with green apples, toast and a very firm, tight character. This wine definitely needs to age; give it 5-8 years.",Bougros Bouguerots Grand Cru,86,95,0.91,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2005 Bougros Bouguerots Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2005-bougros-bouguerots-grand-cru-chardonnay-chablis/,Chardonnay,2005,William Févre
winemag 1601 to 2400,10117,72067,13,White,France,"This small property with its own Château lies within the lower portion of Vaudésir but is considered a Grand Cru in its own right. The wine-the flagship of the cooperative-is opulent, showing strong wood aging flavors that will soften with time. Ripe and generous with yellow fruit flavor, it also boasts a tight mineral acidity and crispness, making it a good candidate for cellaring. Drink from 2021.",Château Grenouilles Grand Cru,89,95,0.94,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,La Chablisienne 2014 Château Grenouilles Grand Cru  (Chablis),https://www.winemag.com/buying-guide/la-chablisienne-2014-chateau-grenouilles-grand-cru-chablis/,Chardonnay,2014,La Chablisienne
winemag 4001 to 4800,15114,123527,13,White,France,"This grandest of the Chablis Grand Crus is giving very little at this early stage in its development. It's a serious and powerful wine, with rich fruits still dominated by steely acidity. Wait until 2019 and it will be a powerhouse of complex, ripe and structured flavors.",Les Clos Grand Cru,89,95,0.94,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Pascal Bouchard 2012 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/pascal-bouchard-2012-clos-grand-cru-chardonnay-chablis/,Chardonnay,2012,Pascal Bouchard
winemag 1 to 800,4077,4077,13,White,France,"This is a structured wine, ripe while layered with minerality and a full texture. Rich yellow and white stone fruits are cut with steely acidity that shows the wine's aging potential. Coming from arguably the finest of the Grand Cru vineyards, the wine is still young. Wait until 2023.",Les Clos Grand Cru,90,95,0.95,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Jean-Marc Brocard 2016 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/jean-marc-brocard-2016-les-clos-grand-cru-chablis-304479/,Chardonnay,2016,Jean-Marc Brocard
winemag 3201 to 4000,14802,107682,13,White,France,"From vines on the sunny side of the vineyard, this wine is richly textured and structured, full of generous yellow and white fruits, spice and layers of wood aging. It has a honeyed character, typical of 2013, with a tight, taut, crisp acidity at the end. Drink this strongly structured wine from 2019.",Vaudésir Grand Cru,90,95,0.95,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2013 Vaudésir Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2013-vaudesir-grand-cru-chardonnay-chablis/,Chardonnay,2013,William Févre
winemag 5601 to 6400,6872,146343,13,White,France,"Château Grenouilles is a parcel within the Grenouilles Grand Cru, a monopoly of the La Chablisienne cooperative. The wine is always impressive. It has weight, richness, concentration and considerable potential. Yellow fruits, wood-aging, spice and a firm structure indicate keeping this wine for six years.",Château Grenouilles Grand Cru,90,95,0.95,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,La Chablisienne 2010 Château Grenouilles Grand Cru  (Chablis),https://www.winemag.com/buying-guide/chablisienne-2010-chateau-grenouilles-grand-cru-chardonnay-chablis/,Chardonnay,2010,La Chablisienne
winemag 8801 to 9600,9184,226165,13,White,France,"What makes a great Chablis grand cru? It's the intensity of flavor, which can be found in this wine. Its green and white fruits are layered with wood spice and an ineffable crispness that allows the wine to show the purity of Chardonnay and the great terroir at the same time.",Les Clos Grand Cru,90,95,0.95,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2006 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2006-clos-grand-cru-chardonnay-chablis/,Chardonnay,2006,William Févre
winemag 3201 to 4000,14800,107680,13,White,France,"A very mineral, flinty character comes through the powerful texture of this rich, dense wine. The ripest, almost honeyed fruit is cut by lime, lemon and orange peel. It is a complex wine for aging; drink from 2019.",Drouhin-Vaudon Les Clos Grand Cru,95,95,1,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Joseph Drouhin 2013 Drouhin-Vaudon Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/joseph-drouhin-2013-vaudon-clos-grand-cru-chardonnay-chablis/,Chardonnay,2013,Joseph Drouhin
winemag 4001 to 4800,15172,123585,13,White,France,"Château Grenouilles is crafted from a portion of the Grenouilles Grand Cru Vineyard that is wholly owned by La Chablisienne. It produces its flagship wine: dense, powerful and concentrated, with a strong mineral and racy texture. It's destined for a long life thanks to its woody richness and tight acidity. Drink from 2018.",Château Grenouilles Grand Cru,95,95,1,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,La Chablisienne 2011 Château Grenouilles Grand Cru  (Chablis),https://www.winemag.com/buying-guide/chablisienne-2011-chateau-grenouilles-grand-cru-chardonnay-chablis/,Chardonnay,2011,La Chablisienne
winemag 8001 to 8800,9325,195730,13,White,France,"A bright, steely wine with great concentration and a tight, mineral character. This is impressive Grand Cru Chablis for the long term, based for the moment on lime, almonds and green plums, but itching to broaden out.",Les Preuses Grand Cru,95,95,1,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2007 Les Preuses Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2007-preuses-grand-cru-chardonnay-chablis/,Chardonnay,2007,William Févre
winemag 3201 to 4000,14784,107664,13,White,France,"This apple-crisp wine has tight acidity and touches of wood rounded out by yellow fruits. It is ripe and very full, the nervy, mineral character contrasting with the richness that is now developing. It will age slowly, so don't drink before 2020.",Valmur Grand Cru,97,95,1.02,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Christian Moreau Pére et Fils 2013 Valmur Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-christian-moreau-pere-fils-2013-valmur-grand-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Christian Moreau Pére et Fils
winemag 7201 to 8000,11530,182301,13.5,White,France,"The magnificent wines from the Marquis de Laguiche estate are produced by Joseph Drouhin. This Morgeot is rich, intense, beautifully concentrated. It has toast, apricot and peach fruits to go with its tight mineral texture. Delicious now, but will age for many years.",Marquis de Laguiche Morgeot Premier Cru,99,95,1.04,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chassagne-Montrachet,"46.9379920, 4.7295610",46.937992,4.729561,Joseph Drouhin 2007 Marquis de Laguiche Morgeot Premier Cru  (Chassagne-Montrachet),https://www.winemag.com/buying-guide/joseph-drouhin-2007-marquis-laguiche-morgeot-premier-cru-chardonnay-chassagne-montrachet/,Chardonnay,2007,Joseph Drouhin
winemag 801 to 1600,10404,212447,13,White,France,"Intense and ripe, this powerful wine is concentrated and packed with both fruit and texture. The wood aging has been well judged to give some spice and ginger flavors that will become more integrated over the next few months. Then the wine will develop slowly and majestically, probably being ready to drink from 2023.",,100,95,1.05,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Corton,"47.0717829, 4.8663697",47.0717829,4.8663697,Domaine Maillard 2014  Corton,https://www.winemag.com/buying-guide/domaine-maillard-2014-corton-279078/,Chardonnay,2014,Domaine Maillard
winemag 3201 to 4000,14789,107669,13,White,France,"This is the coolest and freshest of the Grand Cru vineyards. The wine is tight, steely with a nervy core of acidity that gives it a textured, structured character. It is full of energy, crisp, packed with apples and citrus and needing several years aging. Drink from 2020.",Valmur Grand Cru,105,95,1.11,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,William Févre 2013 Valmur Grand Cru  (Chablis),https://www.winemag.com/buying-guide/william-fevre-2013-valmur-grand-cru-chardonnay-chablis/,Chardonnay,2013,William Févre
winemag 3201 to 4000,14804,107684,13,White,France,"This wine has a rich, fat, almost buttery character. Certainly the acidity is there, although it has a warm, summer feel. The structure typical of Les Clos is all there as well, giving concentration and density. At the end spice goes with the extreme freshness of the citrus aftertaste. Drink from 2020.",Les Clos Grand Cru,106,95,1.12,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Christian Moreau Pére et Fils 2013 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-christian-moreau-pere-fils-2013-clos-grand-cru-chardonnay-chablis/,Chardonnay,2013,Domaine Christian Moreau Pére et Fils
winemag 1601 to 2400,11888,73838,13,White,France,"Beautifully rich, this wine is ripe and full of concentrated fruit. It's generous and full bodied, while retaining tight acidity and minerality. Juicy white fruit flavor shows strongly, allied to the still-very-young acidity and texture, suggesting long life ahead. Drink from 2022.",Vaudésir Grand Cru,109,95,1.15,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Billaud-Simon 2014 Vaudésir Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-billaud-simon-2014-vaudesir-grand-cru-chablis/,Chardonnay,2014,Domaine Billaud-Simon
winemag 1601 to 2400,11891,73841,13.5,White,France,"With its potent mixture of intense fruit and equally concentrated structure, this wine is an obvious candidate for long-term aging. Showing ripe yellow fruit, almond hints and a strong mineral texture, it will develop slowly and be best from 2022. This vineyard, one of the most familiar of Puligny-Montrachet's premier crus, is also one of the highest on the slope.",Les Folatiéres Premier Cru,109,95,1.15,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Puligny-Montrachet,"46.9450920, 4.7532960",46.945092,4.753296,Louis Jadot 2014 Les Folatiéres Premier Cru  (Puligny-Montrachet),https://www.winemag.com/buying-guide/louis-jadot-2014-les-folatieres-premier-cru-puligny-montrachet/,Chardonnay,2014,Louis Jadot
winemag 7201 to 8000,11531,182302,13,White,France,"This Grand Cru within a Grand Cru is a magnificent, opulent wine. It has all the power of a great white Burgundy, the richness allied to minerality and then given weight by toast, yellow fruits and a pure, straight line of acidity.",Clos des Hospices Dans Les Clos Grand Cru,110,95,1.16,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Christian Moreau Pére et Fils 2008 Clos des Hospices Dans Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-christian-moreau-pere-fils-2008-clos-hospices-dans-clos-grand-cru-chardonnay-chablis/,Chardonnay,2008,Domaine Christian Moreau Pére et Fils
winemag 8001 to 8800,9330,195735,13,White,France,"From a parcel that used to belong to the Hospices in Chablis until purchased by the Moreau family. It is a beautifully fashioned wine, its steely character rounded out with delicious ripe fruits, green apples, pear skin and kiwi fruit. Impressive and for aging.",Clos des Hospices Dans Les Clos Grand Cru,110,95,1.16,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Christian Moreau Pére et Fils 2007 Clos des Hospices Dans Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-christian-moreau-pere-fils-2007-clos-hospices-dans-clos-grand-cru-chardonnay-chablis/,Chardonnay,2007,Domaine Christian Moreau Pére et Fils
winemag 2401 to 3200,9434,86854,13.5,White,France,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2020.",Les Chenevottes Premier Cru,110,95,1.16,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chassagne-Montrachet,"46.9379920, 4.7295610",46.937992,4.729561,Philippe Colin 2014 Les Chenevottes Premier Cru  (Chassagne-Montrachet),https://www.winemag.com/buying-guide/philippe-colin-2014-les-chenevottes-premier-cru-chassagne-montrachet/,Chardonnay,2014,Philippe Colin
winemag 1601 to 2400,11887,73837,13,White,France,"Widely regarded as the most majestic of the Chablis Grand Crus, Les Clos has produced a properly impressive and richly dense wine. It has the crispness of the vintage, tight minerality and ripe fruit flavors that contrast apricot and citrus. This is a serious, structured wine ready for aging. Drink from 2022.",Les Clos Grand Cru,111,95,1.17,Burgundy,"47.0525047, 4.3837215",47.0525047,4.3837215,Chablis,"47.8152690, 3.8004510",47.815269,3.800451,Domaine Christian Moreau Pére et Fils 2014 Les Clos Grand Cru  (Chablis),https://www.winemag.com/buying-guide/domaine-christian-moreau-pere-et-fils-2014-les-clos-grand-cru-chablis/,Chardonnay,2014,Domaine Christian Moreau Pére et Fils
