Index - Sub Populations,France or California,Type of Wine,Rating Bucket,Color,Descriptor ,Descriptor Count, How Often Descriptor Appears 
1,France,Bordeaux Reds,80-84 Points,Red,dry ,133,26.23274
1,France,Bordeaux Reds,85-89 Points,Red,ripe ,1219,42.96792
1,France,Bordeaux Reds,90-94 Points,Red,ripe ,846,53.1741
1,France,Bordeaux Reds,95-100 Points,Red,black ,86,45.02618
1,California,California Cabernet,80-84 Points,Red,dry ,643,29.92089
1,California,California Cabernet,85-89 Points,Red,oak ,2174,32.07436
1,California,California Cabernet,90-94 Points,Red,black ,2824,42.44702
1,California,California Cabernet,95-100 Points,Red,black ,313,51.90713
1,California,California Chardonnay,80-84 Points,White,oak ,423,34.39024
1,California,California Chardonnay,85-89 Points,White,oak ,1843,42.63243
1,California,California Chardonnay,90-94 Points,White,oak ,1611,41.97499
1,California,California Chardonnay,95-100 Points,White,lemon ,78,36.27907
1,France,French Chardonnay,80-84 Points,White,soft ,103,38.28996
1,France,French Chardonnay,85-89 Points,White,ripe ,723,42.40469
1,France,French Chardonnay,90-94 Points,White,ripe ,689,50.77377
1,France,French Chardonnay,95-100 Points,White,ripe ,71,48.96552
2,France,Bordeaux Reds,80-84 Points,Red,black ,85,16.76529
2,France,Bordeaux Reds,85-89 Points,Red,black ,940,33.13359
2,France,Bordeaux Reds,90-94 Points,Red,rich ,728,45.75739
2,France,Bordeaux Reds,95-100 Points,Red,ripe ,84,43.97906
2,California,California Cabernet,80-84 Points,Red,cherry ,583,27.1289
2,California,California Cabernet,85-89 Points,Red,cherry ,2122,31.30717
2,California,California Cabernet,90-94 Points,Red,oak ,2435,36.60003
2,California,California Cabernet,95-100 Points,Red,oak ,268,44.44444
2,California,California Chardonnay,80-84 Points,White,sweet ,353,28.69919
2,California,California Chardonnay,85-89 Points,White,apple ,1181,27.31899
2,California,California Chardonnay,90-94 Points,White,apple ,1174,30.58885
2,California,California Chardonnay,95-100 Points,White,oak ,77,35.81395
2,France,French Chardonnay,80-84 Points,White,light ,78,28.99628
2,France,French Chardonnay,85-89 Points,White,crisp ,523,30.67449
2,France,French Chardonnay,90-94 Points,White,rich ,543,40.01474
2,France,French Chardonnay,95-100 Points,White,rich ,59,40.68966
3,France,Bordeaux Reds,80-84 Points,Red,light ,84,16.56805
3,France,Bordeaux Reds,85-89 Points,Red,juicy ,797,28.09306
3,France,Bordeaux Reds,90-94 Points,Red,black ,620,38.9692
3,France,Bordeaux Reds,95-100 Points,Red,great ,80,41.88482
3,California,California Cabernet,80-84 Points,Red,blackberry ,490,22.8013
3,California,California Cabernet,85-89 Points,Red,blackberry ,1959,28.90233
3,California,California Cabernet,90-94 Points,Red,cherry ,1965,29.53555
3,California,California Cabernet,95-100 Points,Red,chocolate ,195,32.33831
3,California,California Chardonnay,80-84 Points,White,pineapple ,334,27.15447
3,California,California Chardonnay,85-89 Points,White,vanilla ,1083,25.05205
3,California,California Chardonnay,90-94 Points,White,lemon ,1048,27.30589
3,California,California Chardonnay,95-100 Points,White,apple ,56,26.04651
3,France,French Chardonnay,80-84 Points,White,apple ,69,25.65056
3,France,French Chardonnay,85-89 Points,White,apple ,407,23.87097
3,France,French Chardonnay,90-94 Points,White,crisp ,308,22.69713
3,France,French Chardonnay,95-100 Points,White,structure ,43,29.65517
4,France,Bordeaux Reds,80-84 Points,Red,soft ,77,15.18738
4,France,Bordeaux Reds,85-89 Points,Red,firm ,726,25.59041
4,France,Bordeaux Reds,90-94 Points,Red,firm ,441,27.71842
4,France,Bordeaux Reds,95-100 Points,Red,structure ,75,39.26702
4,California,California Cabernet,80-84 Points,Red,soft ,443,20.61424
4,California,California Cabernet,85-89 Points,Red,black ,1892,27.91384
4,California,California Cabernet,90-94 Points,Red,blackberry ,1853,27.8521
4,California,California Cabernet,95-100 Points,Red,cassis ,175,29.02156
4,California,California Chardonnay,80-84 Points,White,simple ,268,21.78862
4,California,California Chardonnay,85-89 Points,White,ripe ,995,23.01642
4,California,California Chardonnay,90-94 Points,White,rich ,945,24.6222
4,California,California Chardonnay,95-100 Points,White,pear ,54,25.11628
4,France,French Chardonnay,80-84 Points,White,citrus ,48,17.84387
4,France,French Chardonnay,85-89 Points,White,soft ,378,22.17009
4,France,French Chardonnay,90-94 Points,White,mineral ,302,22.25497
4,France,French Chardonnay,95-100 Points,White,mineral ,40,27.58621
5,France,Bordeaux Reds,80-84 Points,Red,firm ,72,14.20118
5,France,Bordeaux Reds,85-89 Points,Red,rich ,668,23.546
5,France,Bordeaux Reds,90-94 Points,Red,structure ,395,24.82715
5,France,Bordeaux Reds,95-100 Points,Red,dense ,67,35.07853
5,California,California Cabernet,80-84 Points,Red,sweet ,417,19.40437
5,California,California Cabernet,85-89 Points,Red,dry ,1856,27.38271
5,California,California Cabernet,90-94 Points,Red,rich ,1777,26.70975
5,California,California Cabernet,95-100 Points,Red,blackberry ,171,28.35821
5,California,California Chardonnay,80-84 Points,White,vanilla ,248,20.1626
5,California,California Chardonnay,85-89 Points,White,pear ,906,20.95767
5,California,California Chardonnay,90-94 Points,White,pear ,882,22.98072
5,California,California Chardonnay,95-100 Points,White,rich ,54,25.11628
5,France,French Chardonnay,80-84 Points,White,fruity ,44,16.35688
5,France,French Chardonnay,85-89 Points,White,citrus ,378,22.17009
5,France,French Chardonnay,90-94 Points,White,full ,287,21.14959
5,France,French Chardonnay,95-100 Points,White,great ,40,27.58621
6,France,Bordeaux Reds,80-84 Points,Red,juicy ,72,14.20118
6,France,Bordeaux Reds,85-89 Points,Red,fruity ,588,20.72612
6,France,Bordeaux Reds,90-94 Points,Red,dense ,375,23.57008
6,France,Bordeaux Reds,95-100 Points,Red,rich ,65,34.03141
6,California,California Cabernet,80-84 Points,Red,oak ,394,18.33411
6,California,California Cabernet,85-89 Points,Red,soft ,1482,21.86486
6,California,California Cabernet,90-94 Points,Red,ripe ,1420,21.34375
6,California,California Cabernet,95-100 Points,Red,rich ,161,26.69983
6,California,California Chardonnay,80-84 Points,White,peach ,212,17.23577
6,California,California Chardonnay,85-89 Points,White,pineapple ,903,20.88827
6,California,California Chardonnay,90-94 Points,White,vanilla ,775,20.19281
6,California,California Chardonnay,95-100 Points,White,toast ,47,21.86047
6,France,French Chardonnay,80-84 Points,White,green ,42,15.61338
6,France,French Chardonnay,85-89 Points,White,rich ,362,21.23167
6,France,French Chardonnay,90-94 Points,White,toast ,267,19.67576
6,France,French Chardonnay,95-100 Points,White,intense ,38,26.2069
7,France,Bordeaux Reds,80-84 Points,Red,structure ,64,12.62327
7,France,Bordeaux Reds,85-89 Points,Red,structure ,585,20.62037
7,France,Bordeaux Reds,90-94 Points,Red,structured ,345,21.68448
7,France,Bordeaux Reds,95-100 Points,Red,dark ,64,33.50785
7,California,California Cabernet,80-84 Points,Red,simple ,304,14.14611
7,California,California Cabernet,85-89 Points,Red,ripe ,1369,20.1977
7,California,California Cabernet,90-94 Points,Red,chocolate ,1365,20.51706
7,California,California Cabernet,95-100 Points,Red,cherry ,145,24.04643
7,California,California Chardonnay,80-84 Points,White,dry ,193,15.69106
7,California,California Chardonnay,85-89 Points,White,rich ,890,20.58755
7,California,California Chardonnay,90-94 Points,White,ripe ,747,19.46326
7,California,California Chardonnay,95-100 Points,White,minerality ,43,20
7,France,French Chardonnay,80-84 Points,White,fresh ,41,15.24164
7,France,French Chardonnay,85-89 Points,White,fresh ,358,20.99707
7,France,French Chardonnay,90-94 Points,White,spice ,248,18.27561
7,France,French Chardonnay,95-100 Points,White,powerful ,38,26.2069
8,France,Bordeaux Reds,80-84 Points,Red,lean ,60,11.83432
8,France,Bordeaux Reds,85-89 Points,Red,dry ,579,20.40888
8,France,Bordeaux Reds,90-94 Points,Red,juicy ,345,21.68448
8,France,Bordeaux Reds,95-100 Points,Red,powerful ,52,27.22513
8,California,California Cabernet,80-84 Points,Red,ripe ,264,12.28478
8,California,California Cabernet,85-89 Points,Red,rich ,1299,19.16495
8,California,California Cabernet,90-94 Points,Red,currant ,1329,19.97595
8,California,California Cabernet,95-100 Points,Red,blackberries ,130,21.55887
8,California,California Chardonnay,80-84 Points,White,oaky ,185,15.04065
8,California,California Chardonnay,85-89 Points,White,toast ,752,17.39533
8,California,California Chardonnay,90-94 Points,White,pineapple ,682,17.76967
8,California,California Chardonnay,95-100 Points,White,complex ,42,19.53488
8,France,French Chardonnay,80-84 Points,White,ripe ,39,14.49814
8,France,French Chardonnay,85-89 Points,White,ready ,325,19.06158
8,France,French Chardonnay,90-94 Points,White,citrus ,246,18.12822
8,France,French Chardonnay,95-100 Points,White,tight ,33,22.75862
9,France,Bordeaux Reds,80-84 Points,Red,berry ,59,11.63708
9,France,Bordeaux Reds,85-89 Points,Red,berry ,430,15.15686
9,France,Bordeaux Reds,90-94 Points,Red,full ,295,18.5418
9,France,Bordeaux Reds,95-100 Points,Red,firm ,39,20.41885
9,California,California Cabernet,80-84 Points,Red,tannic ,254,11.81945
9,California,California Cabernet,85-89 Points,Red,good ,1191,17.57156
9,California,California Cabernet,90-94 Points,Red,cassis ,1315,19.76552
9,California,California Cabernet,95-100 Points,Red,currant ,120,19.9005
9,California,California Chardonnay,80-84 Points,White,buttered ,181,14.71545
9,California,California Chardonnay,85-89 Points,White,tropical ,742,17.16401
9,California,California Chardonnay,90-94 Points,White,crisp ,643,16.75352
9,California,California Chardonnay,95-100 Points,White,buttered ,38,17.67442
9,France,French Chardonnay,80-84 Points,White,crisp ,38,14.12639
9,France,French Chardonnay,85-89 Points,White,fruity ,320,18.76833
9,France,French Chardonnay,90-94 Points,White,tight ,234,17.24392
9,France,French Chardonnay,95-100 Points,White,opulent ,33,22.75862
10,France,Bordeaux Reds,80-84 Points,Red,fruity ,58,11.43984
10,France,Bordeaux Reds,85-89 Points,Red,full ,414,14.59288
10,France,Bordeaux Reds,90-94 Points,Red,dark ,291,18.29038
10,France,Bordeaux Reds,95-100 Points,Red,concentrated ,36,18.84817
10,California,California Cabernet,80-84 Points,Red,cherries ,244,11.35412
10,California,California Cabernet,85-89 Points,Red,currant ,1044,15.40277
10,California,California Cabernet,90-94 Points,Red,dry ,1255,18.86367
10,California,California Cabernet,95-100 Points,Red,currants ,119,19.73466
10,California,California Chardonnay,80-84 Points,White,apple ,157,12.76423
10,California,California Chardonnay,85-89 Points,White,peach ,709,16.40065
10,California,California Chardonnay,90-94 Points,White,tropical ,603,15.71131
10,California,California Chardonnay,95-100 Points,White,balanced ,37,17.2093
10,France,French Chardonnay,80-84 Points,White,pear ,35,13.01115
10,France,French Chardonnay,85-89 Points,White,light ,283,16.59824
10,France,French Chardonnay,90-94 Points,White,minerality ,211,15.54901
10,France,French Chardonnay,95-100 Points,White,richness ,32,22.06897
